last_changed,aqi_sciosense,eco2,humidity,sound,temperature,tvoc,fteg,radar_sensor,occupancy
2024-12-13T17:48:49,159,1204,31.29,639.9784615,24.55,1291,113.27,7,5
2024-12-13T17:48:50,159,1204,31.31,524.2125,24.52,1291,114.89,6,5
2024-12-13T17:48:51,155,1195,31.31,652.6808333,24.52,1264,116.95,6,5
2024-12-13T17:48:52,155,1195,31.29,593.4585714,24.53,1264,122.7,6,5
2024-12-13T17:48:53,159,1204,31.29,668.541,24.53,1291,118.76,6,5
2024-12-13T17:48:54,159,1204,31.33,723.825,24.55,1291,125.88,0,5
2024-12-13T17:48:55,157,1199,31.33,480.3822222,24.55,1276,131.25,6,5
2024-12-13T17:48:56,157,1199,31.33,593.3336364,24.53,1276,124.19,6,5
2024-12-13T17:48:57,159,1203,31.33,513.7,24.53,1288,121.2,6,5
2024-12-13T17:48:58,159,1203,31.33,659.7728571,24.53,1288,115.33,6,5
2024-12-13T17:48:59,159,1203,31.35,598.0954545,24.52,1288,102.72,6,5
2024-12-13T17:49:00,158,1202,31.35,519.7072727,24.52,1285,89.37,6,5
2024-12-13T17:49:01,158,1202,31.33,741.8975,24.52,1285,89.37,6,5
2024-12-13T17:49:02,152,1183,31.33,527.9872727,24.52,1227,79.135,6,5
2024-12-13T17:49:03,152,1183,31.31,646.50375,24.53,1227,79.135,6,5
2024-12-13T17:49:04,154,1186,31.31,536.3444444,24.53,1236,64.16,6,5
2024-12-13T17:49:05,154,1186,31.35,500.03625,24.52,1236,55.42,6,5
2024-12-13T17:49:06,159,1200,31.35,646.1271429,24.52,1279,48.68,5,5
2024-12-13T17:49:07,159,1200,31.35,600.0966667,24.52,1279,41.44,5,5
2024-12-13T17:49:08,156,1191,31.37,622.2978571,24.53,1251,42.94,5,5
2024-12-13T17:49:09,156,1191,31.31,643.721,24.53,1251,37.63,0,5
2024-12-13T17:49:10,155,1187,31.31,471.8885714,24.53,1239,37.76,5,5
2024-12-13T17:49:11,155,1187,31.31,636.45,24.53,1239,39.82,5,5
2024-12-13T17:49:12,155,1187,31.31,651.62,24.53,1239,45.56,0,5
2024-12-13T17:49:13,153,1181,31.31,505.6409091,24.53,1221,49.05,5,5
2024-12-13T17:49:14,153,1181,31.33,464.8022222,24.53,1221,49.05,0,5
2024-12-13T17:49:15,160,1202,31.33,639.4055556,24.53,1285,45.9,5,5
2024-12-13T17:49:16,160,1202,31.35,611.8771429,24.53,1285,45.9,5,5
2024-12-13T17:49:17,160,1204,31.35,523.5228571,24.53,1291,42.345,5,5
2024-12-13T17:49:18,160,1204,31.33,698.37875,24.55,1291,49.68,5,5
2024-12-13T17:49:19,162,1212,31.33,559.77125,24.55,1316,49.68,5,5
2024-12-13T17:49:20,162,1212,31.35,614.8733333,24.52,1316,49.12,5,5
2024-12-13T17:49:21,160,1208,31.35,529.209,24.52,1304,50.18,5,5
2024-12-13T17:49:22,160,1208,31.35,724.6033333,24.52,1304,50.18,0,5
2024-12-13T17:49:23,159,1205,31.33,545.4066667,24.53,1294,57.48,4,5
2024-12-13T17:49:24,159,1205,31.33,591.986,24.53,1294,73.39,4,5
2024-12-13T17:49:25,153,1205,31.33,763.4183333,24.53,1245,82.01,0,5
2024-12-13T17:49:26,153,1189,31.33,611.14625,24.53,1245,86,4,5
2024-12-13T17:49:27,151,1189,31.32,716.5346154,24.5,1218,87.12,4,5
2024-12-13T17:49:28,151,1180,31.32,478.6,24.5,1218,96.86,4,5
2024-12-13T17:49:29,151,1180,31.31,781.4557143,24.53,1218,96.86,4,5
2024-12-13T17:49:30,152,1179,31.31,646.9823077,24.53,1215,115.895,4,5
2024-12-13T17:49:31,152,1179,31.33,483.4427273,24.52,1215,131.37,0,5
2024-12-13T17:49:32,156,1189,31.33,768.2555556,24.52,1245,124.57,4,5
2024-12-13T17:49:33,156,1189,31.33,737.8018182,24.55,1245,116.95,4,5
